symptoms,disease
"sore throat,weakness,chills",Malaria
"fever,body ache,sore throat",Malaria
"headache,cough,muscle pain",Flu
"body ache,nausea,cough",Malaria
"cough,runny nose,fever",COVID-19
"headache,weakness,cough",Malaria
"chills,headache,runny nose",Flu
"headache,chills,weakness",Flu
"cough,chills,shortness of breath",COVID-19
"shortness of breath,muscle pain,sore throat",COVID-19
"chills,body ache,shortness of breath",Malaria
"vomiting,chills,shortness of breath",Malaria
"fever,runny nose,cough",COVID-19
"fever,weakness,sore throat",Malaria
"headache,shortness of breath,muscle pain",Flu
"runny nose,weakness,body ache",Malaria
"runny nose,muscle pain,fever",Flu
"nausea,body ache,weakness",Malaria
"vomiting,muscle pain,headache",Flu
"chills,cough,sore throat",COVID-19
"vomiting,chills,fever",Flu
"chills,body ache,sore throat",Malaria
"weakness,cough,runny nose",Malaria
"headache,runny nose,cough",Allergy
"nausea,vomiting,chills",Malaria
"vomiting,headache,chills",Flu
"runny nose,weakness,nausea",Malaria
"chills,sore throat,shortness of breath",COVID-19
"fever,muscle pain,shortness of breath",Flu
"headache,nausea,body ache",Malaria
"body ache,muscle pain,cough",Malaria
"headache,weakness,chills",Flu
"runny nose,sore throat,body ache",Malaria
"headache,vomiting,nausea",Malaria
"shortness of breath,sore throat,vomiting",COVID-19
"shortness of breath,fever,cough",COVID-19
"sore throat,muscle pain,cough",Flu
"muscle pain,chills,vomiting",Flu
"muscle pain,body ache,runny nose",Malaria
"nausea,sore throat,body ache",Malaria
"muscle pain,vomiting,headache",Flu
"cough,runny nose,vomiting",Malaria
"weakness,cough,headache",Malaria
"chills,muscle pain,nausea",Flu
"fever,body ache,cough",Malaria
"muscle pain,runny nose,vomiting",Malaria
"chills,fever,nausea",Flu
"chills,sore throat,body ache",Malaria
"sore throat,weakness,nausea",Malaria
"headache,chills,body ache",Flu
"nausea,headache,weakness",Malaria
"body ache,cough,fever",Malaria
"sore throat,nausea,headache",Flu
"nausea,shortness of breath,sore throat",COVID-19
"sore throat,nausea,chills",Flu
"headache,shortness of breath,nausea",COVID-19
"muscle pain,shortness of breath,vomiting",COVID-19
"weakness,sore throat,headache",Malaria
"cough,body ache,vomiting",Malaria
"muscle pain,weakness,cough",Flu
"shortness of breath,body ache,weakness",Malaria
"fever,runny nose,weakness",Malaria
"body ache,sore throat,vomiting",Malaria
"muscle pain,cough,runny nose",Flu
"cough,vomiting,shortness of breath",COVID-19
"headache,weakness,muscle pain",Flu
"nausea,vomiting,fever",Malaria
"shortness of breath,body ache,vomiting",Malaria
"nausea,sore throat,shortness of breath",COVID-19
"muscle pain,fever,nausea",Flu
"vomiting,runny nose,weakness",Malaria
"body ache,sore throat,nausea",Malaria
"vomiting,muscle pain,fever",Flu
"cough,vomiting,muscle pain",Malaria
"cough,muscle pain,runny nose",COVID-19
"muscle pain,chills,runny nose",Flu
"chills,headache,body ache",Flu
"vomiting,weakness,shortness of breath",Malaria
"weakness,shortness of breath,runny nose",COVID-19
"cough,vomiting,weakness",Malaria
"nausea,cough,body ache",Malaria
"headache,muscle pain,shortness of breath",Flu
"nausea,shortness of breath,headache",COVID-19
"shortness of breath,vomiting,chills",COVID-19
"shortness of breath,runny nose,sore throat",COVID-19
"body ache,weakness,cough",Malaria
"chills,nausea,muscle pain",Flu
"muscle pain,body ache,nausea",Malaria
"headache,muscle pain,runny nose",Flu
"fever,vomiting,chills",Flu
"weakness,chills,vomiting",Malaria
"muscle pain,body ache,headache",Flu
"runny nose,sore throat,shortness of breath",COVID-19
"fever,headache,sore throat",Flu
"shortness of breath,runny nose,nausea",COVID-19
"runny nose,shortness of breath,body ache",COVID-19
"runny nose,cough,fever",COVID-19
"headache,vomiting,shortness of breath",Malaria
"runny nose,muscle pain,vomiting",Malaria
"nausea,cough,runny nose",COVID-19
"muscle pain,weakness,shortness of breath",COVID-19
"chills,body ache,muscle pain",Flu
"sore throat,body ache,muscle pain",Malaria
"cough,runny nose,weakness",COVID-19
"body ache,fever,weakness",Malaria
"nausea,weakness,sore throat",Malaria
"headache,cough,muscle pain",Flu
"chills,headache,cough",Flu
"vomiting,weakness,cough",Malaria
"fever,headache,vomiting",Flu
"chills,muscle pain,body ache",Flu
"sore throat,chills,cough",COVID-19
"chills,runny nose,vomiting",Allergy
"cough,headache,runny nose",Allergy
"weakness,runny nose,vomiting",Malaria
"cough,headache,shortness of breath",COVID-19
"nausea,vomiting,sore throat",Malaria
"vomiting,nausea,body ache",Malaria
"runny nose,chills,shortness of breath",COVID-19
"shortness of breath,muscle pain,nausea",COVID-19
"cough,body ache,shortness of breath",COVID-19
"muscle pain,nausea,cough",Flu
"body ache,headache,runny nose",Malaria
"weakness,shortness of breath,muscle pain",COVID-19
"runny nose,cough,fever",COVID-19
"weakness,muscle pain,vomiting",Malaria
"runny nose,weakness,nausea",Malaria
"body ache,fever,runny nose",Malaria
"fever,body ache,nausea",Malaria
"weakness,muscle pain,sore throat",Malaria
"vomiting,fever,nausea",Malaria
"chills,nausea,vomiting",Malaria
"muscle pain,fever,body ache",Flu
"weakness,vomiting,headache",Malaria
"muscle pain,sore throat,vomiting",Malaria
"sore throat,headache,muscle pain",Flu
"cough,runny nose,headache",Flu
"weakness,vomiting,shortness of breath",Malaria
"vomiting,weakness,cough",Malaria
"shortness of breath,vomiting,weakness",Malaria
"body ache,muscle pain,cough",Malaria
"weakness,muscle pain,fever",Flu
"vomiting,weakness,nausea",Malaria
"body ache,runny nose,weakness",Malaria
"headache,shortness of breath,fever",Flu
"weakness,vomiting,shortness of breath",Malaria
"vomiting,runny nose,sore throat",Malaria
"body ache,weakness,sore throat",Malaria
"headache,chills,weakness",Flu
"runny nose,weakness,fever",Malaria
"chills,weakness,runny nose",Allergy
"weakness,chills,sore throat",Malaria
"chills,headache,muscle pain",Flu
"vomiting,chills,body ache",Malaria
"chills,vomiting,cough",Malaria
"nausea,vomiting,fever",Malaria
"body ache,chills,nausea",Malaria
"runny nose,chills,cough",COVID-19
"chills,vomiting,headache",Flu
"nausea,cough,headache",COVID-19
"sore throat,vomiting,weakness",Malaria
"headache,shortness of breath,fever",Flu
"nausea,headache,fever",Flu
"runny nose,vomiting,sore throat",Malaria
"sore throat,chills,weakness",Malaria
"sore throat,weakness,runny nose",Malaria
"weakness,muscle pain,sore throat",Malaria
"fever,vomiting,chills",Flu
"cough,body ache,vomiting",Malaria
"muscle pain,fever,weakness",Flu
"chills,muscle pain,headache",Flu
"shortness of breath,muscle pain,sore throat",COVID-19
"headache,chills,vomiting",Flu
"vomiting,weakness,chills",Malaria
"headache,weakness,body ache",Malaria
"cough,nausea,shortness of breath",COVID-19
"chills,nausea,headache",Flu
"vomiting,cough,sore throat",Malaria
"fever,headache,cough",Flu
"vomiting,weakness,cough",Malaria
"vomiting,chills,muscle pain",Flu
"shortness of breath,body ache,headache",COVID-19
"sore throat,runny nose,vomiting",Malaria
"headache,shortness of breath,chills",Flu
"cough,shortness of breath,muscle pain",COVID-19
"shortness of breath,chills,weakness",COVID-19
"vomiting,cough,chills",Malaria
"body ache,cough,vomiting",Malaria
"runny nose,sore throat,body ache",Malaria
"fever,shortness of breath,weakness",COVID-19
"chills,vomiting,weakness",Malaria
"chills,vomiting,shortness of breath",Malaria
"sore throat,fever,nausea",Flu
"cough,body ache,chills",Malaria
"runny nose,muscle pain,sore throat",Flu
"nausea,fever,sore throat",Cold
"weakness,cough,chills",Malaria
"vomiting,headache,weakness",Malaria
"vomiting,body ache,muscle pain",Malaria
"chills,fever,runny nose",Flu
"cough,weakness,body ache",Malaria
"weakness,vomiting,muscle pain",Malaria
"cough,chills,muscle pain",Flu
"cough,weakness,fever",COVID-19
"chills,cough,vomiting",Malaria
"vomiting,shortness of breath,headache",Malaria
"runny nose,cough,headache",Flu
"cough,vomiting,weakness",Malaria
"fever,nausea,muscle pain",Flu
"cough,sore throat,chills",COVID-19
"weakness,shortness of breath,chills",COVID-19
"cough,sore throat,shortness of breath",COVID-19
"sore throat,weakness,cough",Malaria
"muscle pain,chills,weakness",Flu
"fever,nausea,headache",Flu
"nausea,sore throat,weakness",Malaria
"fever,headache,runny nose",Flu
"vomiting,cough,headache",Malaria
"vomiting,chills,weakness",Malaria
"shortness of breath,nausea,vomiting",Malaria
"sore throat,cough,shortness of breath",COVID-19
"cough,runny nose,shortness of breath",COVID-19
"muscle pain,runny nose,vomiting",Malaria
"headache,cough,nausea",COVID-19
"cough,runny nose,sore throat",COVID-19
"cough,nausea,fever",COVID-19
"nausea,fever,sore throat",Cold
"vomiting,shortness of breath,runny nose",Malaria
"sore throat,muscle pain,headache",Flu
"headache,muscle pain,sore throat",Flu
"chills,headache,muscle pain",Flu
"cough,sore throat,body ache",Malaria
"chills,cough,vomiting",Malaria
"headache,cough,vomiting",Malaria
"fever,vomiting,sore throat",Malaria
"shortness of breath,chills,fever",Flu
"body ache,cough,muscle pain",Malaria
"weakness,nausea,sore throat",Malaria
"sore throat,body ache,headache",Malaria
"sore throat,cough,muscle pain",COVID-19
"cough,vomiting,sore throat",Malaria
"shortness of breath,body ache,cough",COVID-19
"runny nose,headache,cough",Flu
"headache,vomiting,sore throat",Malaria
"nausea,cough,body ache",Malaria
"runny nose,weakness,fever",Malaria
"sore throat,nausea,runny nose",Allergy
"fever,runny nose,chills",Flu
"fever,shortness of breath,muscle pain",Flu
"runny nose,body ache,fever",Malaria
"headache,cough,sore throat",COVID-19
"runny nose,fever,sore throat",Cold
"muscle pain,sore throat,nausea",Flu
"fever,muscle pain,headache",Flu
"nausea,body ache,fever",Malaria
"shortness of breath,cough,sore throat",COVID-19
"nausea,sore throat,body ache",Malaria
"sore throat,muscle pain,runny nose",Flu
"chills,headache,runny nose",Flu
"cough,headache,runny nose",Allergy
"sore throat,vomiting,shortness of breath",Malaria
"vomiting,sore throat,weakness",Malaria
"cough,body ache,sore throat",Malaria
"cough,shortness of breath,weakness",COVID-19
"vomiting,weakness,sore throat",Malaria
"cough,vomiting,fever",Malaria
"cough,muscle pain,weakness",COVID-19
"weakness,muscle pain,sore throat",Malaria
"weakness,cough,sore throat",Malaria
"cough,weakness,vomiting",Malaria
"vomiting,weakness,shortness of breath",Malaria
"sore throat,fever,nausea",Flu
"body ache,runny nose,vomiting",Malaria
"chills,fever,muscle pain",Flu
"shortness of breath,fever,chills",Flu
"nausea,shortness of breath,weakness",Malaria
"fever,body ache,vomiting",Malaria
"cough,weakness,body ache",Malaria
"nausea,fever,sore throat",Cold
"sore throat,body ache,fever",Malaria
"chills,muscle pain,weakness",Flu
"vomiting,nausea,cough",Malaria
"headache,muscle pain,fever",Flu
"muscle pain,fever,cough",Flu
"fever,headache,shortness of breath",Flu
"nausea,muscle pain,vomiting",Malaria
"fever,cough,muscle pain",Flu
"body ache,weakness,fever",Malaria
"muscle pain,sore throat,cough",Flu
"body ache,headache,chills",Flu
"chills,cough,fever",Flu
"nausea,chills,muscle pain",Flu
"vomiting,body ache,weakness",Malaria
"cough,sore throat,weakness",COVID-19
"sore throat,weakness,body ache",Malaria
"nausea,runny nose,vomiting",Malaria
"body ache,runny nose,headache",Malaria
"muscle pain,chills,cough",Flu
"muscle pain,body ache,chills",Flu
"runny nose,cough,sore throat",COVID-19
"weakness,headache,chills",Flu
"shortness of breath,sore throat,nausea",COVID-19
"runny nose,weakness,cough",Malaria
"muscle pain,body ache,chills",Flu
"headache,muscle pain,nausea",Flu
"runny nose,body ache,vomiting",Malaria
"sore throat,runny nose,nausea",Allergy
"body ache,nausea,headache",Malaria
"chills,body ache,runny nose",Malaria
"cough,vomiting,sore throat",Malaria
"runny nose,fever,weakness",Malaria
"muscle pain,nausea,vomiting",Malaria
"runny nose,headache,vomiting",Flu
"headache,cough,weakness",COVID-19
"chills,nausea,weakness",Malaria
"weakness,nausea,chills",Malaria
"runny nose,shortness of breath,fever",COVID-19
"nausea,shortness of breath,fever",COVID-19
"body ache,chills,weakness",Malaria
"headache,body ache,runny nose",Malaria
"headache,shortness of breath,sore throat",COVID-19
"cough,shortness of breath,chills",COVID-19
"vomiting,shortness of breath,body ache",Malaria
"fever,sore throat,vomiting",Malaria
"sore throat,cough,headache",COVID-19
"sore throat,weakness,headache",Malaria
"runny nose,sore throat,body ache",Malaria
"weakness,shortness of breath,cough",COVID-19
"body ache,muscle pain,runny nose",Malaria
"headache,runny nose,chills",Flu
"headache,sore throat,shortness of breath",COVID-19
"nausea,muscle pain,body ache",Malaria
"vomiting,shortness of breath,muscle pain",Malaria
"chills,vomiting,runny nose",Malaria
"runny nose,headache,vomiting",Flu
"body ache,fever,chills",Flu
"fever,weakness,muscle pain",Flu
"weakness,cough,headache",Malaria
"shortness of breath,fever,muscle pain",Flu
"weakness,nausea,shortness of breath",Malaria
"body ache,weakness,cough",Malaria
"body ache,runny nose,fever",Malaria
"muscle pain,vomiting,fever",Flu
"body ache,runny nose,weakness",Malaria
"shortness of breath,vomiting,chills",COVID-19
"shortness of breath,weakness,nausea",Malaria
"body ache,weakness,sore throat",Malaria
"runny nose,vomiting,body ache",Malaria
"headache,shortness of breath,nausea",COVID-19
"headache,shortness of breath,body ache",COVID-19
"body ache,vomiting,headache",Malaria
"runny nose,body ache,muscle pain",Malaria
"vomiting,runny nose,nausea",Malaria
"vomiting,cough,body ache",Malaria
"shortness of breath,chills,weakness",COVID-19
"cough,fever,weakness",COVID-19
"sore throat,cough,runny nose",COVID-19
"headache,vomiting,chills",Flu
"vomiting,nausea,sore throat",Malaria
"cough,runny nose,chills",COVID-19
"body ache,cough,muscle pain",Malaria
"shortness of breath,weakness,fever",COVID-19
"weakness,vomiting,shortness of breath",Malaria
"vomiting,weakness,nausea",Malaria
"sore throat,muscle pain,fever",Flu
"shortness of breath,headache,body ache",COVID-19
"chills,vomiting,fever",Flu
"weakness,runny nose,cough",Malaria
"muscle pain,headache,fever",Flu
"weakness,body ache,muscle pain",Malaria
"weakness,cough,chills",Malaria
"runny nose,cough,weakness",COVID-19
"shortness of breath,body ache,vomiting",Malaria
"nausea,muscle pain,weakness",Malaria
"headache,weakness,body ache",Malaria
"vomiting,shortness of breath,nausea",Malaria
"headache,chills,runny nose",Flu
"shortness of breath,sore throat,fever",COVID-19
"chills,muscle pain,cough",Flu
"runny nose,sore throat,headache",Flu
"cough,body ache,runny nose",Malaria
"body ache,shortness of breath,weakness",Malaria
"nausea,runny nose,sore throat",Allergy
"body ache,nausea,runny nose",Malaria
"vomiting,chills,nausea",Malaria
"fever,nausea,body ache",Malaria
"weakness,runny nose,nausea",Malaria
"sore throat,nausea,cough",COVID-19
"nausea,vomiting,shortness of breath",Malaria
"chills,nausea,fever",Flu
"weakness,shortness of breath,sore throat",COVID-19
"fever,vomiting,cough",Malaria
"runny nose,muscle pain,headache",Flu
"fever,body ache,vomiting",Malaria
"shortness of breath,headache,sore throat",COVID-19
"weakness,headache,sore throat",Malaria
"weakness,sore throat,body ache",Malaria
"shortness of breath,sore throat,runny nose",COVID-19
"sore throat,vomiting,cough",Malaria
"runny nose,weakness,cough",Malaria
"muscle pain,shortness of breath,sore throat",COVID-19
"headache,weakness,runny nose",Allergy
"weakness,vomiting,chills",Malaria
"cough,fever,muscle pain",Flu
"fever,runny nose,headache",Flu
"shortness of breath,fever,weakness",COVID-19
"cough,fever,shortness of breath",COVID-19
"runny nose,sore throat,vomiting",Malaria
"weakness,muscle pain,vomiting",Malaria
"sore throat,fever,shortness of breath",COVID-19
"headache,sore throat,muscle pain",Flu
"chills,cough,body ache",Malaria
"cough,chills,weakness",COVID-19
"muscle pain,runny nose,fever",Flu
"muscle pain,weakness,shortness of breath",COVID-19
"runny nose,body ache,cough",Malaria
"body ache,runny nose,cough",Malaria
"runny nose,muscle pain,vomiting",Malaria
"body ache,shortness of breath,runny nose",Malaria
"chills,cough,runny nose",Allergy
"headache,fever,chills",Flu
"chills,fever,body ache",Flu
"cough,runny nose,headache",Flu
"cough,nausea,vomiting",Malaria
"fever,sore throat,body ache",Malaria
"fever,muscle pain,body ache",Flu
"muscle pain,weakness,nausea",Malaria
"shortness of breath,nausea,cough",COVID-19
"vomiting,muscle pain,cough",Malaria
"sore throat,nausea,runny nose",Allergy
"muscle pain,runny nose,body ache",Malaria
"cough,chills,muscle pain",Flu
"cough,shortness of breath,headache",COVID-19
"cough,shortness of breath,nausea",COVID-19
"vomiting,cough,weakness",Malaria
"shortness of breath,muscle pain,weakness",COVID-19
"weakness,shortness of breath,fever",COVID-19
"shortness of breath,runny nose,headache",COVID-19
"muscle pain,vomiting,shortness of breath",Malaria
"weakness,fever,shortness of breath",COVID-19
"shortness of breath,vomiting,body ache",Malaria
"fever,body ache,chills",Flu
"headache,runny nose,fever",Flu
"body ache,nausea,chills",Malaria
"sore throat,shortness of breath,runny nose",COVID-19
"nausea,runny nose,fever",Allergy
"body ache,muscle pain,chills",Flu
"cough,vomiting,weakness",Malaria
"body ache,weakness,vomiting",Malaria
"body ache,runny nose,vomiting",Malaria
"fever,weakness,chills",Flu
"shortness of breath,cough,muscle pain",COVID-19
"fever,nausea,headache",Flu
"body ache,sore throat,runny nose",Malaria
"shortness of breath,nausea,body ache",Malaria
"shortness of breath,headache,fever",Flu
"cough,chills,vomiting",Malaria
"shortness of breath,nausea,body ache",Malaria
"nausea,weakness,runny nose",Malaria
"chills,cough,body ache",Malaria
"vomiting,shortness of breath,muscle pain",Malaria
"muscle pain,sore throat,headache",Flu
"vomiting,shortness of breath,headache",Malaria
"nausea,weakness,muscle pain",Malaria
"nausea,vomiting,cough",Malaria
"shortness of breath,runny nose,muscle pain",COVID-19
"vomiting,nausea,body ache",Malaria
"headache,chills,vomiting",Flu
"cough,chills,sore throat",COVID-19
"headache,chills,runny nose",Flu
"chills,muscle pain,nausea",Flu
"headache,runny nose,chills",Flu
"fever,headache,nausea",Flu
"chills,sore throat,body ache",Malaria
"fever,headache,cough",Flu
"cough,body ache,shortness of breath",COVID-19
"body ache,shortness of breath,muscle pain",Malaria
"weakness,runny nose,fever",Malaria
"runny nose,sore throat,fever",Allergy
"chills,headache,sore throat",Flu
"headache,nausea,shortness of breath",COVID-19
"nausea,headache,runny nose",Allergy
"fever,weakness,shortness of breath",COVID-19
"fever,runny nose,nausea",Allergy
"chills,sore throat,muscle pain",Flu
"chills,shortness of breath,body ache",COVID-19
"muscle pain,runny nose,chills",Flu
"runny nose,fever,muscle pain",Flu
"shortness of breath,fever,nausea",COVID-19
"fever,headache,weakness",Flu
"chills,runny nose,cough",Allergy
"muscle pain,body ache,headache",Flu
"runny nose,sore throat,muscle pain",Flu
"headache,runny nose,weakness",Allergy
"runny nose,weakness,shortness of breath",COVID-19
"chills,cough,sore throat",COVID-19
"chills,cough,weakness",COVID-19
"body ache,fever,runny nose",Malaria
"cough,runny nose,fever",COVID-19
"fever,body ache,nausea",Malaria
"muscle pain,cough,headache",Flu
"runny nose,vomiting,chills",Malaria
"vomiting,shortness of breath,chills",Malaria
"chills,body ache,weakness",Malaria
"runny nose,sore throat,muscle pain",Flu
"cough,nausea,chills",COVID-19
"weakness,chills,sore throat",Malaria
"sore throat,vomiting,cough",Malaria
"sore throat,body ache,fever",Malaria
"runny nose,body ache,cough",Malaria
"cough,shortness of breath,sore throat",COVID-19
"cough,shortness of breath,nausea",COVID-19
"muscle pain,shortness of breath,headache",Flu
"sore throat,nausea,chills",Flu
"chills,headache,sore throat",Flu
"vomiting,body ache,runny nose",Malaria
"fever,chills,vomiting",Flu
"headache,vomiting,cough",Malaria
"shortness of breath,vomiting,muscle pain",COVID-19
"nausea,headache,shortness of breath",COVID-19
"vomiting,muscle pain,cough",Malaria
"cough,fever,muscle pain",Flu
"sore throat,cough,chills",COVID-19
"sore throat,shortness of breath,chills",COVID-19
"body ache,muscle pain,vomiting",Malaria
"fever,nausea,cough",COVID-19
"runny nose,cough,shortness of breath",COVID-19
"muscle pain,cough,chills",Flu
"sore throat,nausea,fever",Flu
"runny nose,body ache,muscle pain",Malaria
"cough,fever,sore throat",COVID-19
"runny nose,nausea,sore throat",Allergy
"cough,chills,fever",Flu
"shortness of breath,chills,nausea",COVID-19
"runny nose,chills,nausea",Flu
"body ache,weakness,muscle pain",Malaria
"cough,nausea,weakness",Malaria
"cough,headache,weakness",COVID-19
"shortness of breath,muscle pain,headache",Flu
"cough,muscle pain,headache",Flu
"chills,nausea,fever",Flu
"cough,shortness of breath,muscle pain",COVID-19
"body ache,sore throat,nausea",Malaria
"body ache,runny nose,nausea",Malaria
"vomiting,chills,shortness of breath",Malaria
"weakness,chills,sore throat",Malaria
"chills,sore throat,nausea",Flu
"chills,headache,weakness",Flu
"fever,runny nose,muscle pain",Flu
"nausea,chills,cough",COVID-19
"headache,fever,weakness",Flu
"fever,sore throat,runny nose",Cold
"chills,weakness,cough",Malaria
"body ache,muscle pain,nausea",Malaria
"shortness of breath,vomiting,headache",COVID-19
"body ache,muscle pain,sore throat",Malaria
"nausea,fever,weakness",Malaria
"fever,weakness,nausea",Malaria
"sore throat,fever,chills",Flu
"muscle pain,nausea,fever",Flu
"body ache,shortness of breath,nausea",Malaria
"body ache,muscle pain,fever",Flu
"fever,cough,runny nose",COVID-19
"runny nose,body ache,fever",Malaria
"nausea,cough,chills",COVID-19
"body ache,muscle pain,chills",Flu
"cough,chills,shortness of breath",COVID-19
"nausea,muscle pain,sore throat",Flu
"headache,weakness,runny nose",Allergy
"headache,body ache,nausea",Malaria
"shortness of breath,cough,body ache",COVID-19
"muscle pain,cough,runny nose",Flu
"weakness,body ache,fever",Malaria
"shortness of breath,vomiting,cough",COVID-19
"weakness,fever,nausea",Malaria
"weakness,nausea,runny nose",Malaria
"body ache,headache,shortness of breath",Malaria
"runny nose,fever,body ache",Malaria
"chills,muscle pain,cough",Flu
"nausea,chills,weakness",Malaria
"runny nose,weakness,chills",Malaria
"nausea,weakness,cough",Malaria
"sore throat,nausea,weakness",Malaria
"body ache,chills,weakness",Malaria
"shortness of breath,headache,weakness",COVID-19
"sore throat,headache,cough",COVID-19
"shortness of breath,cough,vomiting",COVID-19
"weakness,nausea,muscle pain",Malaria
"shortness of breath,nausea,vomiting",Malaria
"body ache,muscle pain,cough",Malaria
"runny nose,body ache,vomiting",Malaria
"nausea,chills,vomiting",Malaria
"chills,vomiting,fever",Flu
"chills,vomiting,sore throat",Malaria
"cough,body ache,fever",Malaria
"fever,runny nose,body ache",Malaria
"nausea,headache,sore throat",Flu
"chills,shortness of breath,muscle pain",Flu
"body ache,headache,vomiting",Malaria
"weakness,muscle pain,sore throat",Malaria
"chills,headache,cough",Flu
"shortness of breath,muscle pain,body ache",COVID-19
"weakness,body ache,vomiting",Malaria
"vomiting,muscle pain,shortness of breath",Malaria
"chills,nausea,shortness of breath",COVID-19
"runny nose,vomiting,cough",Malaria
"shortness of breath,body ache,headache",COVID-19
"fever,chills,body ache",Flu
"weakness,fever,sore throat",Malaria
"shortness of breath,vomiting,weakness",Malaria
"sore throat,chills,shortness of breath",COVID-19
"body ache,vomiting,shortness of breath",Malaria
"cough,shortness of breath,headache",COVID-19
"body ache,shortness of breath,sore throat",Malaria
"chills,headache,nausea",Flu
"weakness,cough,body ache",Malaria
"cough,sore throat,vomiting",Malaria
"vomiting,shortness of breath,chills",Malaria
"fever,runny nose,body ache",Malaria
"cough,shortness of breath,fever",COVID-19
"sore throat,runny nose,cough",COVID-19
"vomiting,shortness of breath,cough",COVID-19
"shortness of breath,headache,vomiting",COVID-19
"weakness,headache,muscle pain",Flu
"cough,muscle pain,vomiting",Malaria
"fever,headache,chills",Flu
"cough,sore throat,weakness",COVID-19
"fever,nausea,headache",Flu
"sore throat,vomiting,cough",Malaria
"headache,sore throat,cough",COVID-19
"sore throat,weakness,nausea",Malaria
"runny nose,muscle pain,chills",Flu
"body ache,chills,nausea",Malaria
"runny nose,shortness of breath,sore throat",COVID-19
"shortness of breath,nausea,muscle pain",COVID-19
"chills,shortness of breath,runny nose",COVID-19
"muscle pain,weakness,headache",Flu
"sore throat,headache,nausea",Flu
"vomiting,shortness of breath,body ache",Malaria
"cough,sore throat,headache",COVID-19
"chills,fever,nausea",Flu
"fever,sore throat,body ache",Malaria
"sore throat,fever,chills",Flu
"runny nose,body ache,weakness",Malaria
"headache,shortness of breath,nausea",COVID-19
"muscle pain,sore throat,weakness",Flu
"sore throat,nausea,body ache",Malaria
"weakness,runny nose,cough",Malaria
"vomiting,runny nose,sore throat",Malaria
"sore throat,runny nose,cough",COVID-19
"vomiting,muscle pain,nausea",Malaria
"runny nose,vomiting,nausea",Malaria
"headache,vomiting,runny nose",Malaria
"cough,nausea,sore throat",COVID-19
"shortness of breath,body ache,runny nose",COVID-19
"body ache,weakness,fever",Malaria
"cough,runny nose,body ache",Malaria
"nausea,fever,sore throat",Cold
"vomiting,runny nose,shortness of breath",Malaria
"chills,vomiting,body ache",Malaria
"weakness,fever,muscle pain",Flu
"cough,weakness,headache",COVID-19
"fever,vomiting,cough",Malaria
"chills,runny nose,weakness",Allergy
"fever,sore throat,shortness of breath",COVID-19
"cough,weakness,vomiting",Malaria
"muscle pain,cough,vomiting",Malaria
"muscle pain,body ache,runny nose",Malaria
"chills,runny nose,vomiting",Allergy
"body ache,vomiting,muscle pain",Malaria
"nausea,runny nose,headache",Flu
"shortness of breath,chills,sore throat",COVID-19
"fever,chills,muscle pain",Flu
"muscle pain,headache,weakness",Flu
"body ache,chills,nausea",Malaria
"fever,cough,muscle pain",Flu
"sore throat,vomiting,body ache",Malaria
"nausea,weakness,fever",Malaria
"chills,body ache,runny nose",Malaria
"body ache,weakness,fever",Malaria
"body ache,cough,nausea",Malaria
"fever,cough,headache",Flu
"chills,muscle pain,runny nose",Flu
"sore throat,runny nose,vomiting",Malaria
"muscle pain,cough,nausea",Flu
"runny nose,shortness of breath,muscle pain",COVID-19
"body ache,shortness of breath,sore throat",Malaria
"nausea,runny nose,vomiting",Malaria
"runny nose,fever,vomiting",Malaria
"runny nose,sore throat,weakness",Malaria
"runny nose,shortness of breath,chills",COVID-19
"fever,nausea,chills",Flu
"cough,nausea,runny nose",COVID-19
"cough,headache,nausea",COVID-19
"shortness of breath,runny nose,vomiting",COVID-19
"weakness,shortness of breath,chills",COVID-19
"cough,runny nose,chills",COVID-19
"vomiting,muscle pain,headache",Flu
"headache,chills,cough",Flu
"weakness,nausea,fever",Malaria
"body ache,headache,cough",Malaria
"runny nose,fever,shortness of breath",COVID-19
"nausea,fever,cough",COVID-19
"weakness,chills,nausea",Malaria
"cough,sore throat,nausea",COVID-19
"muscle pain,weakness,nausea",Malaria
"chills,runny nose,vomiting",Allergy
"chills,nausea,weakness",Malaria
"runny nose,weakness,muscle pain",Malaria
"body ache,weakness,headache",Malaria
"shortness of breath,runny nose,chills",COVID-19
"vomiting,runny nose,cough",Malaria
"shortness of breath,sore throat,muscle pain",COVID-19
"vomiting,chills,runny nose",Malaria
"weakness,fever,nausea",Malaria
"shortness of breath,vomiting,sore throat",COVID-19
"runny nose,muscle pain,body ache",Malaria
"chills,weakness,sore throat",Malaria
"body ache,chills,cough",Malaria
"chills,runny nose,headache",Flu
"vomiting,nausea,sore throat",Malaria
"shortness of breath,body ache,sore throat",COVID-19
"cough,chills,vomiting",Malaria
"nausea,fever,muscle pain",Flu
"cough,headache,runny nose",Allergy
"sore throat,runny nose,cough",COVID-19
"runny nose,chills,muscle pain",Flu
"fever,sore throat,shortness of breath",COVID-19
"headache,weakness,shortness of breath",COVID-19
"muscle pain,shortness of breath,weakness",COVID-19
"vomiting,fever,cough",Malaria
"runny nose,weakness,nausea",Malaria
"headache,sore throat,body ache",Malaria
"nausea,weakness,muscle pain",Malaria
"weakness,muscle pain,sore throat",Malaria
"muscle pain,chills,nausea",Flu
"nausea,vomiting,sore throat",Malaria
"fever,runny nose,vomiting",Malaria
"headache,vomiting,body ache",Malaria
